sample,fastq_1,fastq_2
LbCas12a_no_donor_SIKI_1_1,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1001--bc1025.fastq.gz,
LbCas12a_no_donor_SIKI_2_1,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1001--bc1026.fastq.gz,
LbCas12a_no_donor_SIKI_3_1,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1001--bc1027.fastq.gz,
LbCas12a_ISce1_donor_SIKI_1_2,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1002--bc1025.fastq.gz,
LbCas12a_ISce1_donor_SIKI_2_2,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1002--bc1026.fastq.gz,
LbCas12a_ISce1_donor_SIKI_3_2,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1002--bc1027.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_1_3,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1003--bc1025.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_2_3,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1003--bc1026.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_3_3,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1003--bc1027.fastq.gz,
LbCas12a_mod_donor_SIKI_1_4,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1004--bc1025.fastq.gz,
LbCas12a_mod_donor_SIKI_2_4,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1004--bc1026.fastq.gz,
LbCas12a_mod_donor_SIKI_3_4,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1004--bc1027.fastq.gz,
Cas9_no_donor_SIKI_1_5,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1005--bc1025.fastq.gz,
Cas9_no_donor_SIKI_2_5,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1005--bc1026.fastq.gz,
Cas9_no_donor_SIKI_3_5,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1005--bc1027.fastq.gz,
Cas9_ISce1_donor_SIKI_1_6,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1006--bc1025.fastq.gz,
Cas9_ISce1_donor_SIKI_2_6,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1006--bc1026.fastq.gz,
Cas9_ISce1_donor_SIKI_3_6,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1006--bc1027.fastq.gz,
Cas9_unigRNA_donor_SIKI_1_7,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1007--bc1025.fastq.gz,
Cas9_unigRNA_donor_SIKI_2_7,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1007--bc1026.fastq.gz,
Cas9_unigRNA_donor_SIKI_3_7,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1007--bc1027.fastq.gz,
Cas9_mod_donor_SIKI_1_8,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1008--bc1025.fastq.gz,
Cas9_mod_donor_SIKI_2_8,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1008--bc1026.fastq.gz,
Cas9_mod_donor_SIKI_3_8,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1008--bc1027.fastq.gz,
uninjected_SIKI_1_9,/Users/kaihu/Projects/Analytical_projects/Nathan/sikipipe/test/demultiplex/res/h3f3d/bc1009--bc1025.fastq.gz,
