sample,fastq_1,fastq_2
LbCas12a_no_donor_SIKI_5_1,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1001--bc1028.fastq.gz,
LbCas12a_no_donor_SIKI_6_1,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1001--bc1029.fastq.gz,
LbCas12a_no_donor_SIKI_7_1,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1001--bc1030.fastq.gz,
LbCas12a_ISce1_donor_SIKI_5_2,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1002--bc1028.fastq.gz,
LbCas12a_ISce1_donor_SIKI_6_2,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1002--bc1029.fastq.gz,
LbCas12a_ISce1_donor_SIKI_7_2,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1002--bc1030.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_5_3,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1003--bc1028.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_6_3,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1003--bc1029.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_7_3,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1003--bc1030.fastq.gz,
LbCas12a_mod_donor_SIKI_5_4,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1004--bc1028.fastq.gz,
LbCas12a_mod_donor_SIKI_6_4,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1004--bc1029.fastq.gz,
LbCas12a_mod_donor_SIKI_7_4,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1004--bc1030.fastq.gz,
Cas9_no_donor_SIKI_5_5,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1005--bc1028.fastq.gz,
Cas9_no_donor_SIKI_6_5,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1005--bc1029.fastq.gz,
Cas9_no_donor_SIKI_7_5,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1005--bc1030.fastq.gz,
Cas9_ISce1_donor_SIKI_5_6,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1006--bc1028.fastq.gz,
Cas9_ISce1_donor_SIKI_6_6,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1006--bc1029.fastq.gz,
Cas9_ISce1_donor_SIKI_7_6,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1006--bc1030.fastq.gz,
Cas9_unigRNA_donor_SIKI_5_7,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1007--bc1028.fastq.gz,
Cas9_unigRNA_donor_SIKI_6_7,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1007--bc1029.fastq.gz,
Cas9_unigRNA_donor_SIKI_7_7,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1007--bc1030.fastq.gz,
Cas9_mod_donor_SIKI_5_8,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1008--bc1028.fastq.gz,
Cas9_mod_donor_SIKI_6_8,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1008--bc1029.fastq.gz,
Cas9_mod_donor_SIKI_7_8,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1008--bc1030.fastq.gz,
uninjected_SIKI_5_9,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1009--bc1028.fastq.gz,
uninjected_SIKI_6_9,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1009--bc1029.fastq.gz,
uninjected_SIKI_7_9,/Users/kaihu/Projects/Analytical_projects/Nathan/2022_08_10/data/bc1009--bc1030.fastq.gz,
