sample,fastq_1,fastq_2
LbCas12a_no_donor_SIKI_1_1,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1001--bc1025.fastq.gz,
LbCas12a_no_donor_SIKI_2_1,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1001--bc1026.fastq.gz,
LbCas12a_no_donor_SIKI_3_1,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1001--bc1027.fastq.gz,
LbCas12a_ISce1_donor_SIKI_1_2,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1002--bc1025.fastq.gz,
LbCas12a_ISce1_donor_SIKI_2_2,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1002--bc1026.fastq.gz,
LbCas12a_ISce1_donor_SIKI_3_2,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1002--bc1027.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_1_3,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1003--bc1025.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_2_3,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1003--bc1026.fastq.gz,
LbCas12a_unigRNA_donor_SIKI_3_3,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1003--bc1027.fastq.gz,
LbCas12a_mod_donor_SIKI_1_4,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1004--bc1025.fastq.gz,
LbCas12a_mod_donor_SIKI_2_4,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1004--bc1026.fastq.gz,
LbCas12a_mod_donor_SIKI_3_4,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1004--bc1027.fastq.gz,
Cas9_no_donor_SIKI_1_5,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1005--bc1025.fastq.gz,
Cas9_no_donor_SIKI_2_5,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1005--bc1026.fastq.gz,
Cas9_no_donor_SIKI_3_5,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1005--bc1027.fastq.gz,
Cas9_ISce1_donor_SIKI_1_6,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1006--bc1025.fastq.gz,
Cas9_ISce1_donor_SIKI_2_6,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1006--bc1026.fastq.gz,
Cas9_ISce1_donor_SIKI_3_6,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1006--bc1027.fastq.gz,
Cas9_unigRNA_donor_SIKI_1_7,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1007--bc1025.fastq.gz,
Cas9_unigRNA_donor_SIKI_2_7,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1007--bc1026.fastq.gz,
Cas9_unigRNA_donor_SIKI_3_7,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1007--bc1027.fastq.gz,
Cas9_mod_donor_SIKI_1_8,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1008--bc1025.fastq.gz,
Cas9_mod_donor_SIKI_2_8,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1008--bc1026.fastq.gz,
Cas9_mod_donor_SIKI_3_8,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1008--bc1027.fastq.gz,
uninjected_SIKI_1_9,/home/kai.hu-umw/pi/nathan.lawson-umw/2022_08_10/res/hey2/bc1009--bc1025.fastq.gz,
