sample,fastq_1,fastq_2
LbCas12a_gspPCR_SIKI2_1_1,demultiplex.bc1001--bc1025.hifi_reads.fastq.gz,
LbCas12a_gspPCR_SIKI2_1_2,demultiplex.bc1002--bc1025.hifi_reads.fastq.gz,
LbCas12a_uniPCR_SIKI2_1_3,demultiplex.bc1003--bc1025.hifi_reads.fastq.gz,
LbCas12a_no_donor_SIKI2_1_4,demultiplex.bc1004--bc1025.hifi_reads.fastq.gz,
LbCas12a_uninjected_SIKI2_1_5,demultiplex.bc1005--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_6,demultiplex.bc1006--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_7,demultiplex.bc1007--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_8,demultiplex.bc1008--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_9,demultiplex.bc1009--bc1025.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_1_10,demultiplex.bc1010--bc1025.hifi_reads.fastq.gz,
LbCas12a_gspPCR_SIKI2_2_1,demultiplex.bc1001--bc1026.hifi_reads.fastq.gz,
LbCas12a_gspPCR_SIKI2_2_2,demultiplex.bc1002--bc1026.hifi_reads.fastq.gz,
LbCas12a_uniPCR_SIKI2_2_3,demultiplex.bc1003--bc1026.hifi_reads.fastq.gz,
LbCas12a_no_donor_SIKI2_2_4,demultiplex.bc1004--bc1026.hifi_reads.fastq.gz,
LbCas12a_uninjected_SIKI2_2_5,demultiplex.bc1005--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_6,demultiplex.bc1006--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_7,demultiplex.bc1007--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_8,demultiplex.bc1008--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_9,demultiplex.bc1009--bc1026.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_2_10,demultiplex.bc1010--bc1026.hifi_reads.fastq.gz,
LbCas12a_gspPCR_SIKI2_3_1,demultiplex.bc1001--bc1027.hifi_reads.fastq.gz,
LbCas12a_gspPCR_SIKI2_3_2,demultiplex.bc1002--bc1027.hifi_reads.fastq.gz,
LbCas12a_uniPCR_SIKI2_3_3,demultiplex.bc1003--bc1027.hifi_reads.fastq.gz,
LbCas12a_no_donor_SIKI2_3_4,demultiplex.bc1004--bc1027.hifi_reads.fastq.gz,
LbCas12a_uninjected_SIKI2_3_5,demultiplex.bc1005--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_6,demultiplex.bc1006--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_7,demultiplex.bc1007--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_8,demultiplex.bc1008--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_9,demultiplex.bc1009--bc1027.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_3_10,demultiplex.bc1010--bc1027.hifi_reads.fastq.gz,
