sample,fastq_1,fastq_2
SpCas9_gspPCR_SIKI2_1_1,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1001--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_2,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1002--bc1025.hifi_reads.fastq.gz,
SpCas9_uniPCR_SIKI2_1_3,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1003--bc1025.hifi_reads.fastq.gz,
SpCas9_no_donor_SIKI2_1_4,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1004--bc1025.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_1_5,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1005--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_6,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1006--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_7,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1007--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_8,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1008--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_1_9,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1009--bc1025.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_1_10,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1010--bc1025.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_1,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1001--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_2,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1002--bc1026.hifi_reads.fastq.gz,
SpCas9_uniPCR_SIKI2_2_3,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1003--bc1026.hifi_reads.fastq.gz,
SpCas9_no_donor_SIKI2_2_4,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1004--bc1026.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_2_5,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1005--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_6,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1006--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_7,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1007--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_8,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1008--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_2_9,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1009--bc1026.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_2_10,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1010--bc1026.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_1,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1001--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_2,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1002--bc1027.hifi_reads.fastq.gz,
SpCas9_uniPCR_SIKI2_3_3,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1003--bc1027.hifi_reads.fastq.gz,
SpCas9_no_donor_SIKI2_3_4,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1004--bc1027.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_3_5,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1005--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_6,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1006--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_7,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1007--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_8,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1008--bc1027.hifi_reads.fastq.gz,
SpCas9_gspPCR_SIKI2_3_9,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1009--bc1027.hifi_reads.fastq.gz,
SpCas9_uninjected_SIKI2_3_10,/home/kai.hu-umw/pi/nathan.lawson-umw/2023_11_27/res/h3f3d/demultiplex.bc1010--bc1027.hifi_reads.fastq.gz,
